Year,Month,Day,Latitude,Longitude,Acres,Gcause,Scause,Agency,Flag,Ranked Acres,Ranked km2
1971,6,17,43.87,-124.13,12,8,10,USFS,1,12,0.048564
1971,4,15,35.18,-84.13,9,8,27,USFS,0,9,0.036423
1971,8,30,34.3,-118.37,9,8,27,USFS,1,9,0.036423
1971,7,6,34.46,-119.56,7,8,8,USFS,1,7,0.028329
1971,7,29,40.89,-111.84,7,8,27,USFS,1,7,0.028329
1971,10,19,43.6,-115.65,6,8,15,USFS,1,6,0.024282
1971,4,12,36.86,-84.36,5,8,27,USFS,0,5,0.020235
1971,2,18,34.38,-81.6,5,8,27,USFS,0,5,0.020235
1971,4,3,34.24,-117.3,5,8,27,USFS,1,5,0.020235
1971,3,28,35.11,-106.49,5,8,26,USFS,1,5,0.020235
1971,5,5,33.36,-110.77,5,8,27,USFS,1,5,0.020235
1971,2,13,34.65,-90.1,4,8,19,USFS,1,4,0.016188
1971,5,21,35.14,-106.51,4,8,27,USFS,1,4,0.016188
1971,7,23,41.08,-111.9,4,8,10,USFS,1,4,0.016188
1971,8,13,40.79,-111.86,3,8,27,USFS,1,3,0.012141
1971,4,20,36.93,-82.65,2,8,30,USFS,0,2,0.008094
1971,2,1,30.56,-95.3,2,8,27,USFS,0,2,0.008094
1971,7,17,47.82,-120.02,2,8,27,USFS,1,2,0.008094
1971,11,2,34.48,-119.84,2,8,5,USFS,1,2,0.008094
1971,7,4,34.23,-117.25,2,8,26,USFS,1,2,0.008094
1971,9,22,42.92,-122.97,2,8,27,USFS,1,2,0.008094
1971,12,12,34.17,-118.04,2,8,27,USFS,1,2,0.008094
1971,6,9,35.12,-106.49,2,8,26,USFS,1,2,0.008094
1971,9,18,47.46,-114.87,2,8,27,USFS,1,2,0.008094
1971,4,9,36.78,-80.18,1,8,27,USFS,0,1,0.004047
1971,4,13,34.59,-90.1,1,8,3,USFS,1,1,0.004047
1971,4,17,34.63,-90.32,1,8,19,USFS,1,1,0.004047
1971,7,28,45.67,-121.89,1,8,27,USFS,1,1,0.004047
1971,8,25,43.29,-123.08,1,8,27,USFS,1,1,0.004047
1971,1,17,33.36,-110.77,1,8,27,USFS,1,1,0.004047
1971,3,25,35.19,-111.8,1,8,27,USFS,1,1,0.004047
1971,5,22,33.31,-105.67,1,8,10,USFS,1,1,0.004047
1971,7,5,36.26,-105.58,1,8,27,USFS,1,1,0.004047
1971,8,26,46.28,-114.25,1,8,9,USFS,1,1,0.004047
1971,3,20,40.47,-111.71,1,8,8,USFS,1,1,0.004047
1971,7,14,40.7,-111.79,1,8,27,USFS,1,1,0.004047
1971,7,24,40.7,-111.79,1,8,26,USFS,1,1,0.004047
1971,8,31,40.79,-111.86,1,8,27,USFS,1,1,0.004047
1972,8,22,34.55,-119.1,17150,8,27,USFS,1,17150,69.40605
1972,7,5,37.75,-118.98,1137,8,27,USFS,1,1137,4.601439
1972,7,6,34.29,-118.3,740,8,27,USFS,1,740,2.99478
1972,8,10,40.6,-112.56,470,8,30,USFS,1,470,1.90209
1972,7,27,36.4,-115.75,279,8,18,USFS,1,279,1.129113
1972,7,22,34.23,-117.88,85,8,27,USFS,1,85,0.343995
1972,10,1,33.84,-117.6,64,8,27,USFS,1,64,0.259008
1972,5,6,34.8,-76.91,50,8,27,USFS,0,50,0.20235
1972,4,28,37.56,-118.78,50,8,27,USFS,1,50,0.20235
1972,8,7,45.71,-110.97,35,8,27,USFS,1,35,0.141645
1972,8,14,34.61,-90.17,30,8,19,USFS,1,30,0.12141
1972,9,8,36.98,-119.32,30,8,27,USFS,1,30,0.12141
1972,3,6,35.59,-94.33,26,8,27,USFS,1,26,0.105222
1972,3,12,36.65,-81.76,21,8,27,USFS,0,21,0.084987
1972,7,19,34.17,-117.27,18,8,27,USFS,1,18,0.072846
1972,7,9,40.59,-111.79,16,8,27,USFS,1,16,0.064752
1972,8,9,34.5,-118.37,15,8,27,USFS,1,15,0.060705
1972,3,12,34.69,-90.37,14,8,27,USFS,1,14,0.056658
1972,8,21,34.46,-119.84,10,8,27,USFS,1,10,0.04047
1972,10,16,34.8,-94.77,8,8,27,USFS,9,8,0.032376
1972,7,9,34.3,-118.35,8,8,27,USFS,1,8,0.032376
1972,4,10,35.27,-111.94,8,8,24,USFS,1,8,0.032376
1972,2,27,35.14,-106.49,6,8,26,USFS,1,6,0.024282
1972,4,11,34.76,-76.85,5,8,27,USFS,0,5,0.020235
1972,8,16,34.59,-90.17,5,8,19,USFS,1,5,0.020235
1972,7,25,35.8,-118.44,5,8,27,USFS,1,5,0.020235
1972,12,30,35.93,-83.11,4,8,11,USFS,0,4,0.016188
1972,4,16,33.86,-82.2,4,8,11,USFS,0,4,0.016188
1972,7,11,40.04,-120.71,4,8,27,USFS,1,4,0.016188
1972,6,20,35.15,-106.49,4,8,27,USFS,1,4,0.016188
1972,4,27,32.98,-79.81,3,8,27,USFS,0,3,0.012141
1972,8,16,34.59,-90.17,3,8,19,USFS,1,3,0.012141
1972,11,29,34.61,-90.17,3,8,19,USFS,1,3,0.012141
1972,3,12,35.1,-106.51,3,8,27,USFS,1,3,0.012141
1972,4,2,34.87,-111.8,3,8,27,USFS,1,3,0.012141
1972,8,25,34.13,-109.96,3,8,26,USFS,1,3,0.012141
1972,10,1,32.71,-109.96,3,8,27,USFS,1,3,0.012141
1972,7,12,34.58,-112.53,2,8,27,USFS,1,2,0.008094
1972,10,2,34.55,-112.53,2,8,27,USFS,1,2,0.008094
1972,7,7,40.18,-111.49,2,8,27,USFS,1,2,0.008094
1972,2,28,36.73,-84.36,1,8,27,USFS,0,1,0.004047
1972,3,15,34.01,-82.31,1,8,27,USFS,0,1,0.004047
1972,8,15,34.59,-90.17,1,8,19,USFS,1,1,0.004047
1972,8,17,34.59,-90.17,1,8,19,USFS,1,1,0.004047
1972,8,28,42.59,-121.69,1,8,26,USFS,1,1,0.004047
1972,9,17,44.7,-122.08,1,8,27,USFS,1,1,0.004047
1972,2,19,34.23,-117.32,1,8,27,USFS,1,1,0.004047
1972,4,29,34.26,-117.13,1,8,27,USFS,1,1,0.004047
1972,6,26,34.27,-116.85,1,8,27,USFS,1,1,0.004047
1972,7,5,40.48,-123.58,1,8,27,USFS,1,1,0.004047
1972,8,10,41.85,-123.97,1,8,27,USFS,1,1,0.004047
1972,8,22,40.18,-120.4,1,8,27,USFS,1,1,0.004047
1972,8,29,42.45,-122.12,1,8,30,USFS,1,1,0.004047
1972,3,31,35.23,-111.5,1,8,27,USFS,1,1,0.004047
1972,2,25,35.15,-111.64,1,8,27,USFS,1,1,0.004047
1972,4,1,35.16,-111.66,1,8,27,USFS,1,1,0.004047
1972,6,28,34.22,-110.03,1,8,27,USFS,1,1,0.004047
1972,7,29,35.22,-111.6,1,8,27,USFS,1,1,0.004047
1972,9,30,35.24,-111.69,1,8,27,USFS,1,1,0.004047
1972,9,30,35.06,-111.57,1,8,27,USFS,1,1,0.004047
1972,2,12,32.33,-110.68,1,8,10,USFS,1,1,0.004047
1972,4,25,32.36,-110.95,1,8,26,USFS,1,1,0.004047
1972,3,11,35.66,-105.88,1,8,27,USFS,1,1,0.004047
1972,7,25,41.26,-111.79,1,8,27,USFS,1,1,0.004047
1972,7,27,44.17,-107.21,1,8,27,USFS,1,1,0.004047
1972,8,19,43.73,-103.79,1,8,27,USFS,1,1,0.004047
1972,6,10,40.9,-111.86,1,8,8,USFS,1,1,0.004047
1972,6,20,40.24,-111.64,1,8,27,USFS,1,1,0.004047
1972,6,22,40.9,-111.86,1,8,27,USFS,1,1,0.004047
1972,7,1,38.56,-119.51,1,8,27,USFS,1,1,0.004047
1972,8,7,40.33,-111.67,1,8,27,USFS,1,1,0.004047
1972,9,10,40.56,-111.81,1,8,27,USFS,1,1,0.004047
1972,9,17,40.79,-111.84,1,8,27,USFS,1,1,0.004047
1973,7,6,42.68,-103.08,3635,8,26,USFS,1,3635,14.710845
1973,8,29,42.57,-121.87,141,8,27,USFS,1,141,0.570627
1973,8,19,34.13,-117.81,90,8,27,USFS,1,90,0.36423
1973,8,7,47.74,-116.75,70,8,27,USFS,1,70,0.28329
1973,7,5,34.45,-118.51,50,8,10,USFS,1,50,0.20235
1973,7,1,40.37,-106.21,45,8,26,USFS,1,45,0.182115
1973,7,2,34.48,-118.67,30,8,27,USFS,1,30,0.12141
1973,4,14,34.9,-83.15,29,8,8,USFS,0,29,0.117363
1973,7,6,40.25,-111.64,20,8,27,USFS,1,20,0.08094
1973,10,18,34.8,-77.13,15,8,27,USFS,0,15,0.060705
1973,6,19,33.84,-117.53,15,8,27,USFS,1,15,0.060705
1973,12,17,34.59,-90.19,14,8,27,USFS,1,14,0.056658
1973,1,1,34.33,-118.32,10,8,27,USFS,1,10,0.04047
1973,4,15,36.95,-84.15,9,8,27,USFS,0,9,0.036423
1973,5,2,34.25,-110.07,8,8,10,USFS,1,8,0.032376
1973,12,16,34.59,-90.19,7,8,27,USFS,1,7,0.028329
1973,5,30,33.36,-110.66,5,8,27,USFS,1,5,0.020235
1973,7,1,46.75,-114.18,5,8,26,USFS,1,5,0.020235
1973,3,21,33.05,-79.58,4,8,29,USFS,0,4,0.016188
1973,10,15,39.37,-120.08,4,8,27,USFS,1,4,0.016188
1973,6,28,35.23,-111.64,4,8,27,USFS,1,4,0.016188
1973,6,7,45.32,-114.45,4,8,26,USFS,1,4,0.016188
1973,7,13,48.74,-118.67,4,8,27,USFS,1,4,0.016188
1973,7,21,33.38,-97.56,3,8,26,USFS,0,3,0.012141
1973,7,22,48.88,-115.05,3,8,27,USFS,1,3,0.012141
1973,10,12,40.73,-111.81,3,8,27,USFS,1,3,0.012141
1973,8,19,44.03,-123.86,2,8,10,USFS,1,2,0.008094
1973,6,22,41.81,-123.36,2,8,27,USFS,1,2,0.008094
1973,7,22,39.69,-121.33,2,8,10,USFS,1,2,0.008094
1973,5,28,33.37,-110.68,2,8,27,USFS,1,2,0.008094
1973,11,9,33.37,-110.77,2,8,26,USFS,1,2,0.008094
1973,10,7,35.32,-112.06,2,8,27,USFS,1,2,0.008094
1973,5,1,48.41,-114.17,2,8,30,USFS,1,2,0.008094
1973,8,29,40.77,-111.56,2,8,9,USFS,1,2,0.008094
1973,11,11,39.28,-106.32,2,8,27,USFS,1,2,0.008094
1973,5,13,40.33,-111.64,2,8,21,USFS,1,2,0.008094
1973,8,25,41.27,-111.94,2,8,27,USFS,1,2,0.008094
1973,10,27,37.53,-84,1,8,10,USFS,0,1,0.004047
1973,2,24,33.3,-79.88,1,8,27,USFS,0,1,0.004047
1973,7,12,42.45,-120.63,1,8,27,USFS,1,1,0.004047
1973,10,25,34.46,-119.71,1,8,27,USFS,1,1,0.004047
1973,4,21,40.38,-123.06,1,8,27,USFS,1,1,0.004047
1973,6,9,38.25,-120.35,1,8,27,USFS,1,1,0.004047
1973,6,15,40.98,-123.63,1,8,27,USFS,1,1,0.004047
1973,6,15,40.56,-123.19,1,8,27,USFS,1,1,0.004047
1973,8,1,34.2,-118.18,1,8,27,USFS,1,1,0.004047
1973,8,26,39.3,-120.84,1,8,27,USFS,1,1,0.004047
1973,9,16,40.56,-123.23,1,8,27,USFS,1,1,0.004047
1973,9,25,39.16,-120.16,1,8,27,USFS,9,1,0.004047
1973,10,2,34.26,-116.81,1,8,27,USFS,1,1,0.004047
1973,10,18,34.14,-117.57,1,8,27,USFS,1,1,0.004047
1973,10,22,34.23,-117.25,1,8,27,USFS,1,1,0.004047
1973,11,25,34.17,-117.63,1,8,27,USFS,1,1,0.004047
1973,6,7,35.12,-106.49,1,8,27,USFS,1,1,0.004047
1973,6,23,34.41,-112.42,1,8,27,USFS,1,1,0.004047
1973,10,25,35.1,-106.49,1,8,27,USFS,1,1,0.004047
1973,6,17,35.09,-111.66,1,8,27,USFS,1,1,0.004047
1973,6,24,35.88,-106.75,1,8,27,USFS,1,1,0.004047
1973,6,29,35.1,-111.71,1,8,27,USFS,1,1,0.004047
1973,9,22,35.17,-111.66,1,8,27,USFS,1,1,0.004047
1973,9,23,35.07,-111.5,1,8,27,USFS,1,1,0.004047
1973,10,9,34.38,-111.46,1,8,27,USFS,1,1,0.004047
1973,7,4,46.99,-114.41,1,8,26,USFS,1,1,0.004047
1973,6,12,40.75,-111.81,1,8,26,USFS,1,1,0.004047
1973,6,21,40.43,-111.75,1,8,19,USFS,1,1,0.004047
1973,7,3,40.34,-111.69,1,8,26,USFS,1,1,0.004047
1973,8,6,41.17,-111.92,1,8,27,USFS,1,1,0.004047
1974,4,6,32.79,-105.63,15354,8,27,USFS,1,15354,62.137638
1974,6,28,33.84,-117.6,400,8,27,USFS,1,400,1.6188
1974,2,24,31.34,-110.97,300,8,27,USFS,1,300,1.2141
1974,6,30,45.95,-113.97,90,8,26,USFS,1,90,0.36423
1974,9,22,35.97,-118.55,85,8,27,USFS,1,85,0.343995
1974,11,24,37.05,-83.5,70,8,27,USFS,0,70,0.28329
1974,8,11,35.52,-118.67,60,8,27,USFS,1,60,0.24282
1974,9,12,40.48,-123.58,60,8,27,USFS,1,60,0.24282
1974,4,21,32.32,-110.8,25,8,26,USFS,1,25,0.101175
1974,4,16,37.81,-79.93,21,8,8,USFS,0,21,0.084987
1974,3,9,34.93,-76.95,20,8,13,USFS,0,20,0.08094
1974,7,8,32.82,-116.76,20,8,27,USFS,1,20,0.08094
1974,4,12,37.65,-80.1,16,8,30,USFS,0,16,0.064752
1974,10,12,41.21,-122.28,12,8,27,USFS,1,12,0.048564
1974,7,1,40.66,-111.81,12,8,27,USFS,1,12,0.048564
1974,4,20,35.12,-106.51,11,8,27,USFS,1,11,0.044517
1974,3,9,32.96,-79.8,9,8,27,USFS,0,9,0.036423
1974,4,26,33.63,-111.64,9,8,27,USFS,1,9,0.036423
1974,6,25,47.61,-115.32,9,8,26,USFS,1,9,0.036423
1974,7,1,34.14,-117.95,7,8,27,USFS,1,7,0.028329
1974,11,4,36.83,-84.25,6,8,27,USFS,0,6,0.024282
1974,5,18,33.68,-111.33,6,8,27,USFS,1,6,0.024282
1974,4,18,33.84,-109.14,5,8,27,USFS,1,5,0.020235
1974,8,15,34.38,-110.54,5,8,27,USFS,1,5,0.020235
1974,8,26,47.03,-114.79,5,8,27,USFS,1,5,0.020235
1974,9,6,48.9,-115.07,5,8,5,USFS,1,5,0.020235
1974,9,4,42.73,-112.15,5,8,27,USFS,1,5,0.020235
1974,8,19,40.45,-123.52,4,8,30,USFS,1,4,0.016188
1974,4,28,37.46,-84.05,3,8,27,USFS,0,3,0.012141
1974,11,10,37.98,-80.06,3,8,8,USFS,0,3,0.012141
1974,7,23,34.17,-118.02,3,8,27,USFS,1,3,0.012141
1974,6,19,35.14,-106.49,3,8,27,USFS,1,3,0.012141
1974,3,25,35.92,-106.34,3,8,27,USFS,1,3,0.012141
1974,7,4,40.43,-105.32,3,8,26,USFS,1,3,0.012141
1974,10,27,48.86,-118.52,3,8,27,USFS,1,3,0.012141
1974,3,29,35.79,-94.1,2,8,27,USFS,1,2,0.008094
1974,4,2,35.74,-93.53,2,8,27,USFS,1,2,0.008094
1974,4,7,34.86,-76.85,2,8,27,USFS,0,2,0.008094
1974,4,20,35.5,-79.91,2,8,27,USFS,0,2,0.008094
1974,6,24,34.24,-117.27,2,8,27,USFS,1,2,0.008094
1974,7,4,38.54,-120.04,2,8,26,USFS,1,2,0.008094
1974,7,20,37.56,-119.87,2,8,27,USFS,1,2,0.008094
1974,7,30,41.85,-123.21,2,8,27,USFS,1,2,0.008094
1974,8,10,32.71,-116.77,2,8,27,USFS,1,2,0.008094
1974,8,27,36.9,-119.25,2,8,27,USFS,1,2,0.008094
1974,9,15,40.08,-120.87,2,8,27,USFS,1,2,0.008094
1974,5,1,35.23,-111.62,2,8,26,USFS,1,2,0.008094
1974,7,2,35.17,-111.64,2,8,27,USFS,1,2,0.008094
1974,9,6,35.26,-111.75,2,8,27,USFS,1,2,0.008094
1974,5,9,32.45,-110.75,2,8,27,USFS,1,2,0.008094
1974,5,19,32.61,-110.76,2,8,27,USFS,1,2,0.008094
1974,6,25,45.82,-115.89,2,8,26,USFS,1,2,0.008094
1974,6,25,40.79,-111.86,2,8,27,USFS,1,2,0.008094
1974,7,6,40.79,-111.84,2,8,5,USFS,1,2,0.008094
1974,4,21,37.01,-83.5,1,8,27,USFS,0,1,0.004047
1974,4,20,35.45,-83.88,1,8,27,USFS,0,1,0.004047
1974,4,21,33.2,-79.9,1,8,27,USFS,0,1,0.004047
1974,12,20,34.62,-94.65,1,8,27,USFS,9,1,0.004047
1974,7,24,48.03,-119.94,1,8,26,USFS,1,1,0.004047
1974,7,30,47.4,-120.34,1,8,27,USFS,1,1,0.004047
1974,5,3,40.11,-121.08,1,8,27,USFS,1,1,0.004047
1974,5,25,41.21,-122.28,1,8,27,USFS,1,1,0.004047
1974,6,21,34.23,-118.21,1,8,27,USFS,1,1,0.004047
1974,7,15,41.28,-123.54,1,8,10,USFS,1,1,0.004047
1974,7,22,42.02,-123.39,1,8,9,USFS,1,1,0.004047
1974,8,8,33.52,-117.37,1,8,27,USFS,1,1,0.004047
1974,8,19,37.64,-118.91,1,8,26,USFS,1,1,0.004047
1974,8,22,36.7,-119.01,1,8,27,USFS,1,1,0.004047
1974,9,10,34.16,-117.98,1,8,27,USFS,1,1,0.004047
1974,9,18,41.96,-120.4,1,8,27,USFS,1,1,0.004047
1974,10,16,34.17,-117.27,1,8,27,USFS,1,1,0.004047
1974,10,19,37.06,-119.41,1,8,27,USFS,1,1,0.004047
1974,11,29,34.29,-118.37,1,8,27,USFS,1,1,0.004047
1974,5,8,33.63,-111,1,8,27,USFS,1,1,0.004047
1974,7,6,35.26,-111.48,1,8,27,USFS,1,1,0.004047
1974,7,26,33.36,-110.77,1,8,27,USFS,1,1,0.004047
1974,5,14,34.25,-111.32,1,8,27,USFS,1,1,0.004047
1974,5,18,34.15,-109.73,1,8,27,USFS,1,1,0.004047
1974,6,1,34.27,-111.21,1,8,27,USFS,1,1,0.004047
1974,6,17,34.25,-110.05,1,8,27,USFS,1,1,0.004047
1974,6,24,33.69,-109.11,1,8,10,USFS,1,1,0.004047
1974,7,9,35.4,-108.54,1,8,26,USFS,1,1,0.004047
1974,8,25,35.12,-112.01,1,8,27,USFS,1,1,0.004047
1974,7,15,43.93,-103.57,1,8,27,USFS,1,1,0.004047
1974,8,13,47.3,-115.1,1,8,27,USFS,1,1,0.004047
1974,8,19,41.29,-111.57,1,8,27,USFS,1,1,0.004047
1974,9,7,46.91,-112.68,1,8,27,USFS,1,1,0.004047
1974,10,6,43.83,-115.83,1,8,10,USFS,1,1,0.004047
1974,6,29,40.86,-111.84,1,8,27,USFS,1,1,0.004047
1974,8,13,40.69,-111.79,1,8,27,USFS,1,1,0.004047
1974,9,28,39.7,-120.05,1,8,5,USFS,9,1,0.004047
1975,8,8,33.67,-116.69,4490,8,27,USFS,1,4490,18.17103
1975,6,29,36.09,-121.41,310,8,26,USFS,1,310,1.25457
1975,7,22,35.36,-120.39,287,8,27,USFS,1,287,1.161489
1975,8,5,40.59,-123.08,85,8,27,USFS,1,85,0.343995
1975,6,30,33,-116.82,80,8,27,USFS,1,80,0.32376
1975,7,5,34.53,-118.75,35,8,27,USFS,1,35,0.141645
1975,7,6,32.82,-116.76,20,8,26,USFS,1,20,0.08094
1975,7,5,34.19,-117.29,18,8,26,USFS,1,18,0.072846
1975,1,25,33.35,-105.67,15,8,25,USFS,1,15,0.060705
1975,8,10,34.13,-117.79,13,8,27,USFS,1,13,0.052611
1975,6,1,34.19,-117.29,10,8,27,USFS,1,10,0.04047
1975,6,29,32.9,-116.85,10,8,27,USFS,1,10,0.04047
1975,3,26,34.95,-84.85,9,8,27,USFS,0,9,0.036423
1975,6,16,34.36,-117.65,9,8,27,USFS,1,9,0.036423
1975,8,3,32.54,-110.71,7,8,27,USFS,1,7,0.028329
1975,7,26,44.41,-121.3,6,8,27,USFS,1,6,0.024282
1975,3,2,30.61,-89.05,5,8,27,USFS,0,5,0.020235
1975,3,7,34.78,-76.9,5,8,10,USFS,0,5,0.020235
1975,6,21,32.68,-116.51,5,8,27,USFS,1,5,0.020235
1975,11,13,31.62,-110.88,5,8,27,USFS,1,5,0.020235
1975,1,30,34.91,-76.96,4,8,27,USFS,0,4,0.016188
1975,7,23,33.66,-111.1,4,8,27,USFS,1,4,0.016188
1975,4,7,34.8,-84.15,3,8,30,USFS,0,3,0.012141
1975,5,6,37.96,-80.08,3,8,27,USFS,0,3,0.012141
1975,8,6,40.3,-120.55,3,8,27,USFS,1,3,0.012141
1975,9,15,34.16,-118.02,3,8,27,USFS,1,3,0.012141
1975,9,23,41.24,-111.92,3,8,27,USFS,1,3,0.012141
1975,3,20,33.26,-79.7,2,8,27,USFS,0,2,0.008094
1975,4,18,33.33,-86.05,2,8,10,USFS,0,2,0.008094
1975,6,25,34.55,-119.82,2,8,27,USFS,1,2,0.008094
1975,7,16,32.81,-116.62,2,8,27,USFS,1,2,0.008094
1975,7,23,34.23,-118.19,2,8,27,USFS,1,2,0.008094
1975,8,13,34.29,-118.39,2,8,27,USFS,1,2,0.008094
1975,12,11,31.42,-110.25,2,8,11,USFS,1,2,0.008094
1975,5,4,39.73,-105.51,2,8,27,USFS,1,2,0.008094
1975,5,24,44.49,-121.04,2,8,27,USFS,1,2,0.008094
1975,7,9,40.3,-111.65,2,8,27,USFS,1,2,0.008094
1975,8,11,40.35,-111.71,2,8,27,USFS,1,2,0.008094
1975,4,6,38.18,-83.41,1,8,27,USFS,0,1,0.004047
1975,2,11,34.78,-76.86,1,8,27,USFS,0,1,0.004047
1975,3,22,34.81,-76.88,1,8,27,USFS,0,1,0.004047
1975,3,25,32.98,-79.65,1,8,27,USFS,0,1,0.004047
1975,7,16,48.59,-120.42,1,8,26,USFS,1,1,0.004047
1975,7,26,47.41,-123.3,1,8,27,USFS,1,1,0.004047
1975,5,9,40.08,-120.89,1,8,30,USFS,1,1,0.004047
1975,5,24,40.33,-121.23,1,8,8,USFS,1,1,0.004047
1975,6,23,34.43,-117.83,1,8,27,USFS,1,1,0.004047
